Domain Accession	Domain name	Count	Proteins	Accession proteins
IPR003121	SWIB/MDM2 domain	3	['UAF30', 'TRI1', 'TMA64']	['Q08747', 'Q05024', 'Q04600']
IPR014876	DEK, C-terminal	2	['UAF30', 'TRI1']	['Q08747', 'Q05024']
IPR004305	Thiaminase-2/PQQC	4	['THI21', 'THI20', 'THI22', 'PET18']	['Q08975', 'Q08224', 'Q06490', 'P25362']
IPR004399	Hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase domain	3	['THI21', 'THI20', 'THI22']	['Q08975', 'Q08224', 'Q06490']
IPR050325	Protein/nucleic acid deglycase	3	['HSP32', 'HSP33', 'SNO4']	['Q08992', 'Q08914', 'Q04902']
IPR004856	Glycosyl transferase, ALG6/ALG8	2	['ALG6', 'ALG8']	['Q12001', 'P40351']
IPR003358	tRNA (guanine-N-7) methyltransferase, Trmb type	1	['TRM8']	['Q12009']
IPR003923	Transcription initiation factor TFIID, 23-30kDa subunit	1	['TAF10']	['Q12030']
IPR002121	HRDC domain	2	['RRP6', 'SGS1']	['Q12149', 'P35187']
IPR002562	3'-5' exonuclease domain	1	['RRP6']	['Q12149']
IPR012588	Exosome-associated factor Rrp6, N-terminal	1	['RRP6']	['Q12149']
IPR025723	Anion-transporting ATPase-like domain	1	['GET3']	['Q12154']
IPR006909	Rad21/Rec8-like protein, C-terminal, eukaryotic	1	['MCD1']	['Q12158']
IPR008253	Marvel domain	3	['NCE102', 'FHN1', '[]']	['Q12207', 'P53279', 'Q07629']
IPR019005	Vacuolar R-SNARE Nyv1, longin domain	1	['NYV1']	['Q12255']
IPR012476	mRNA export factor GLE1-like	1	['GLE1']	['Q12315']
IPR039175	Mitochondrial import inner membrane translocase subunit TIM22	1	['TIM22']	['Q12328']
IPR045241	WD repeat Prp46/PLRG1-like	1	['PRP46']	['Q12417']
IPR008733	Peroxisomal biogenesis factor 11	2	['PEX11', 'PEX25']	['Q12462', 'Q02969']
IPR041048	RuvB-like, AAA-lid domain	2	['RVB2', 'RVB1']	['Q12464', 'Q03940']
IPR010334	mRNA-decapping enzyme subunit 1	1	['DCP1']	['Q12517']
IPR002489	Glutamate synthase, alpha subunit, C-terminal	1	['GLT1']	['Q12680']
IPR002932	Glutamate synthase domain	1	['GLT1']	['Q12680']
IPR006982	Glutamate synthase, central-N	1	['GLT1']	['Q12680']
IPR028261	Dihydroprymidine dehydrogenase domain II	1	['GLT1']	['Q12680']
IPR013244	Sec39 domain	1	['SEC39']	['Q12745']
IPR000289	Small ribosomal subunit protein eS28	2	['RPS28A', 'RPS28B']	['Q3E7X9', 'P0C0X0']
IPR048280	Cytochrome oxidase c subunit VIb-like	1	['COA6']	['Q3E846']
IPR007512	MICOS complex subunit Mic10	1	['MIC10']	['Q96VH5']
IPR000422	3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB	1	['RIB3']	['Q99258']
IPR013928	Alkali metal cation/H+ antiporter Nha1, C-terminal	2	['NHA1', 'NHA1']	['Q99271', 'Q99271']
IPR030386	GB1/RHD3-type guanine nucleotide-binding (G) domain	1	['SEY1']	['Q99287']
IPR046758	Sey1/RHD3-like, three-helix bundle domain	1	['SEY1']	['Q99287']
IPR009453	IMP-specific 5-nucleotidase	1	['ISN1']	['Q99312']
IPR005033	YEATS	2	['SAS5', 'YAF9']	['Q99314', 'P53930']
IPR054465	Integrase p58, C-terminal domain	1	['TY3B-G']	['Q99315']
IPR018943	Oligosaccaryltransferase	1	['OST4']	['Q99380']
IPR008427	Extracellular membrane protein, CFEM domain	1	['CCW14']	['O13547']
IPR023184	Ubiquinol-cytochrome C reductase hinge domain	1	['QCR6']	['P00127']
IPR005798	Cytochrome b/b6, C-terminal	1	['COB']	['P00163']
IPR002429	Cytochrome c oxidase subunit II-like C-terminal	1	['COX2']	['P00410']
IPR011759	Cytochrome C oxidase subunit II, transmembrane domain	1	['COX2']	['P00410']
IPR000298	Cytochrome c oxidase subunit III-like	1	['COX3']	['P00420']
IPR006035	Ureohydrolase	1	['CAR1']	['P00812']
IPR004364	Aminoacyl-tRNA synthetase, class II (D/K/N)	6	['DPS1', 'KRS1', 'MSD1', 'SLM5', 'MSK1', 'DED81']	['P04802', 'P15180', 'P15179', 'P25345', 'P32048', 'P38707']
IPR001731	Delta-aminolevulinic acid dehydratase	1	['HEM2']	['P05373']
IPR008688	ATP synthase, F0 complex, subunit B/MI25	1	['ATP4']	['P05626']
IPR001780	Large ribosomal subunit protein eL33	2	['RPL33A', 'RPL33B']	['P05744', 'P41056']
IPR002906	Small ribosomal subunit protein eS31	1	['RPS31']	['P05759']
IPR001289	Nuclear transcription factor Y subunit A	1	['HAP2']	['P06774']
IPR047260	ERCC1-like, central domain	1	['RAD10']	['P06838']
IPR014368	Cytochrome c oxidase, subunit VIIa, fungal	1	['COX9']	['P07255']
IPR005002	Phosphomannomutase	1	['SEC53']	['P07283']
IPR011262	DNA-directed RNA polymerase, insert domain	2	['RPC40', 'RPB3']	['P07703', 'P16370']
IPR011263	DNA-directed RNA polymerase, RpoA/D/Rpb3-type	2	['RPC40', 'RPB3']	['P07703', 'P16370']
IPR007646	RNA polymerase Rpb2, domain 4	2	['RPB2', 'RET1']	['P08518', 'P22276']
IPR007647	RNA polymerase Rpb2, domain 5	2	['RPB2', 'RET1']	['P08518', 'P22276']
IPR024951	Sulphate adenylyltransferase catalytic domain	1	['MET3']	['P08536']
IPR025980	ATP-sulfurylase PUA-like domain	1	['MET3']	['P08536']
IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit	2	['GPA1', 'GPA2']	['P08539', 'P10823']
IPR015163	Cdc6, C-terminal	1	['CDC6']	['P09119']
IPR054425	Cdc6/ORC1-like, ATPase lid domain	1	['CDC6']	['P09119']
IPR033391	Fructose-1-6-bisphosphatase class I, N-terminal	1	['FBP1']	['P09201']
IPR044015	Fructose-1-6-bisphosphatase class 1, C-terminal	1	['FBP1']	['P09201']
IPR001606	ARID DNA-binding domain	2	['SWI1', 'ECM5']	['P09547', 'Q03214']
IPR012725	Chaperone DnaK	2	['SSC1', 'ECM10']	['P0CS90', 'P39987']
IPR000552	Large ribosomal subunit protein eL42	2	['RPL42A', 'RPL42B']	['P0CX27', 'P0CX28']
IPR001377	Small ribosomal subunit protein eS6	2	['RPS6A', 'RPS6B']	['P0CX37', 'P0CX38']
IPR000722	RNA polymerase, alpha subunit	3	['RPA190', 'RPO21', 'RPO31']	['P10964', 'P04050', 'P04051']
IPR006592	RNA polymerase, N-terminal	3	['RPA190', 'RPO21', 'RPO31']	['P10964', 'P04050', 'P04051']
IPR007066	RNA polymerase Rpb1, domain 3	3	['RPA190', 'RPO21', 'RPO31']	['P10964', 'P04050', 'P04051']
IPR007080	RNA polymerase Rpb1, domain 1	3	['RPA190', 'RPO21', 'RPO31']	['P10964', 'P04050', 'P04051']
IPR007081	RNA polymerase Rpb1, domain 5	3	['RPA190', 'RPO21', 'RPO31']	['P10964', 'P04050', 'P04051']
IPR007083	RNA polymerase Rpb1, domain 4	3	['RPA190', 'RPO21', 'RPO31']	['P10964', 'P04050', 'P04051']
IPR015403	Mon2/Sec7/BIG1-like, HDS	1	['SEC7']	['P11075']
IPR046455	Sec7/BIG1-like, C-terminal domain	1	['SEC7']	['P11075']
IPR002300	Aminoacyl-tRNA synthetase, class Ia	6	['NAM2', 'CDC60', 'CDC60', 'VAS1', 'ILS1', 'ISM1']	['P11325', 'P26637', 'P26637', 'P07806', 'P09436', 'P48526']
IPR025709	Leucyl-tRNA synthetase, editing domain	1	['NAM2']	['P11325']
IPR027038	Ran GTPase-activating protein	1	['RNA1']	['P11745']
IPR013021	Myo-inositol-1-phosphate synthase, GAPDH-like	1	['INO1']	['P11986']
IPR053848	DNA polymerase IV/DNA polymerase iota-like, thumb domain	1	['REV1']	['P12689']
IPR024763	Vacuolar protein sorting protein 11, C-terminal	1	['PEP5']	['P12868']
IPR001772	Kinase associated domain 1 (KA1)	2	['KIN1', 'KIN2']	['P13185', 'P13186']
IPR029262	DNA-directed RNA polymerase, N-terminal	1	['RPO41']	['P13433']
IPR046950	DNA-directed RNA polymerase, C-terminal domain, phage-type	1	['RPO41']	['P13433']
IPR001698	F-actin-capping protein subunit beta	1	['CAP2']	['P13517']
IPR003120	Transcription factor Ste12	1	['STE12']	['P13574']
IPR052127	STE12 transcription factor	1	['STE12']	['P13574']
IPR021211	Sorting assembly machinery 35kDa subunit	1	['SAM35']	['P14693']
IPR018860	Anaphase-promoting complex, subunit CDC26	1	['CDC26']	['P14724']
IPR018325	Rad4/PNGase transglutaminase-like fold	1	['RAD4']	['P14736']
IPR018326	Rad4 beta-hairpin domain 1	2	['RAD4', 'RAD34']	['P14736', 'Q06665']
IPR018327	Rad4 beta-hairpin domain 2	2	['RAD4', 'RAD34']	['P14736', 'Q06665']
IPR018328	Rad4 beta-hairpin domain 3	2	['RAD4', 'RAD34']	['P14736', 'Q06665']
IPR010582	Catalase immune-responsive domain	2	['CTA1', 'CTT1']	['P15202', 'P06115']
IPR011614	Catalase core domain	2	['CTA1', 'CTT1']	['P15202', 'P06115']
IPR000490	Glycoside hydrolase family 17	4	['BGL2', 'SCW4', 'SCW10', 'SCW11']	['P15703', 'P53334', 'Q04951', 'P53189']
IPR028162	Siroheme biosynthesis protein Met8, C-terminal	1	['MET8']	['P15807']
IPR028281	Siroheme synthase, central domain	1	['MET8']	['P15807']
IPR000023	Phosphofructokinase domain	4	['PFK1', 'PFK1', 'PFK2', 'PFK2']	['P16861', 'P16861', 'P16862', 'P16862']
IPR040712	Phosphofructokinase, N-terminal domain	1	['PFK1']	['P16861']
IPR000533	Tropomyosin	3	['TPM1', 'TPM1', 'TPM2']	['P17536', 'P17536', 'P40414']
IPR004631	4-aminobutyrate aminotransferase, eukaryotic	1	['UGA1']	['P17649']
IPR005605	Sporulation-specific protein Spo7	1	['SPO7']	['P18410']
IPR000818	TEA/ATTS domain	1	['TEC1']	['P18412']
IPR020373	Alpha-ketoglutarate dehydrogenase component 4/YMR-31	1	['YMR31']	['P19955']
IPR006110	RNA polymerase, subunit omega/Rpo6/RPB6	1	['RPO26']	['P20435']
IPR006111	Archaeal Rpo6/eukaryotic RPB6 RNA polymerase subunit	1	['RPO26']	['P20435']
IPR007521	Choline kinase, N-terminal	2	['CKI1', 'EKI1']	['P20485', 'Q03764']
IPR019200	ATP adenylyltransferase, C-terminal	2	['APA2', 'APA1']	['P22108', 'P16550']
IPR045759	Ap4A phosphorylase 1/2, N-terminal domain	2	['APA2', 'APA1']	['P22108', 'P16550']
IPR040992	5'-3' exoribonuclease 1, D1 domain	1	['XRN1']	['P22147']
IPR041106	Exoribonuclease Xrn1, D2/D3 domain	1	['XRN1']	['P22147']
IPR041385	5'-3' exoribonuclease 1, SH3-like domain	1	['XRN1']	['P22147']
IPR002842	V-type ATPase subunit E	1	['VMA4']	['P22203']
IPR002420	C2 phosphatidylinositol 3-kinase-type domain	1	['VPS34']	['P22543']
IPR048267	Arginosuccinate synthase-like, N-terminal domain	1	['ARG1']	['P22768']
IPR048268	Arginosuccinate synthase C-terminal domain	1	['ARG1']	['P22768']
IPR026896	Transcription termination and cleavage factor, C-terminal domain	2	['RNA15', 'PTI1']	['P25299', 'P39927']
IPR000159	Ras-associating domain	2	['STE50', 'CYR1']	['P25344', 'P08678']
IPR015316	Ste50, sterile alpha motif	1	['STE50']	['P25344']
IPR002677	Large ribosomal subunit protein bL32	1	['MRPL32']	['P25348']
IPR051991	Mitochondrial ribosomal protein bL32	1	['MRPL32']	['P25348']
IPR044103	LAS seventeen-binding protein 5 , GAT domain	1	['LSB5']	['P25369']
IPR007811	DNA-directed RNA polymerase III subunit RPC4	1	['RPC53']	['P25441']
IPR013911	Mitochondrial inner membrane i-AAA protease complex subunit Mgr1	1	['MGR1']	['P25573']
IPR012920	Ribosomal RNA methyltransferase, SPB1-like, C-terminal	1	['SPB1']	['P25582']
IPR024576	Ribosomal RNA methyltransferase Spb1, domain of unknown function DUF3381	1	['SPB1']	['P25582']
IPR008883	Ubiquitin E2 variant, N-terminal	1	['STP22']	['P25604']
IPR017916	Steadiness box (SB) domain	1	['STP22']	['P25604']
IPR000791	Acetate transporter GPR1/Ato2/SatP-like	3	['ADY2', 'ATO2', 'ATO3']	['P25613', 'P32907', 'Q12359']
IPR002054	DNA-directed DNA polymerase X	1	['POL4']	['P25615']
IPR019035	Mediator complex, subunit Med12	1	['SRB8']	['P25648']
IPR025607	Large ribosomal subunit protein uL18, C-terminal, eukaryotes	1	['RPL5']	['P26321']
IPR007862	Adenylate kinase, active site lid domain	2	['ADK2', 'ADK1']	['P26364', 'P07170']
IPR028923	SAICAR synthetase/ADE2, N-terminal	1	['ADE1']	['P27616']
IPR001529	DNA-directed RNA polymerase, M/15kDa subunit	3	['RPB9', 'RPA12', 'RPC11']	['P27999', 'P32529', 'Q04307']
IPR002759	RNase P subunit Pop5/Rpp14/Rnp2-like	1	['POP5']	['P28005']
IPR016819	Ribonuclease P/MRP protein subunit Pop5	1	['POP5']	['P28005']
IPR000270	PB1 domain	2	['BEM1', 'CDC24']	['P29366', 'P11433']
IPR054125	MCM5, C-terminal domain	1	['MCM5']	['P29496']
IPR008689	ATP synthase, F0 complex, subunit D, mitochondrial	1	['ATP7']	['P30902']
IPR001342	Homoserine dehydrogenase, catalytic	1	['HOM6']	['P31116']
IPR005106	Aspartate/homoserine dehydrogenase, NAD-binding	1	['HOM6']	['P31116']
IPR021665	Mediator complex, subunit Med16, N-terminal	1	['SIN4']	['P32259']
IPR048339	Mediator complex subunit 16, C-terminal	1	['SIN4']	['P32259']
IPR008146	Glutamine synthetase, catalytic domain	1	['GLN1']	['P32288']
IPR008147	Glutamine synthetase, N-terminal domain	1	['GLN1']	['P32288']
IPR032717	Mitochondrial splicing suppressor 51, zinc-finger	1	['MSS51']	['P32335']
IPR046824	Mitochondrial splicing suppressor 51-like, C-terminal domain	1	['MSS51']	['P32335']
IPR002843	ATPase, V0 complex, c/d subunit	1	['VMA6']	['P32366']
IPR019049	Nucleoporin protein Ndc1-Nup	1	['NDC1']	['P32500']
IPR032003	Ribosome-associated complex head domain	1	['ZUO1']	['P32527']
IPR054076	Zuotin-like, zuotin homology domain	2	['ZUO1', 'JJJ1']	['P32527', 'P53863']
IPR018958	Knr4/Smi1-like domain	1	['SMI1']	['P32566']
IPR014001	Helicase superfamily 1/2, ATP-binding domain	2	['SUV3', 'DBP6']	['P32580', 'P53734']
IPR022192	Mitochondrial degradasome RNA helicase subunit, C-terminal domain	1	['SUV3']	['P32580']
IPR019095	Mediator complex, subunit Med18	1	['SRB5']	['P32585']
IPR021565	Rabenosyn, Rab binding domain	1	['PEP7']	['P32609']
IPR000407	Nucleoside phosphatase GDA1/CD39	2	['GDA1', 'YND1']	['P32621', 'P40009']
IPR023943	Enolase-phosphatase E1	1	['UTR4']	['P32626']
IPR025260	Chromodomain-helicase-DNA-binding protein 1-like, C-terminal domain	1	['CHD1']	['P32657']
IPR041150	Chromodomain helicase DNA-binding domain	1	['CHD1']	['P32657']
IPR004240	Nonaspanin (TM9SF)	3	['EMP70', 'TMN3', 'TMN2']	['P32802', 'P40071', 'Q04562']
IPR013933	Chromatin-remodelling complex, RSC SWI/SNF subunit Rsc7/Swp82	2	['NPL6', 'SWP82']	['P32832', 'P43554']
IPR024662	Trafficking protein particle complex II-specific subunit 65	1	['TRS65']	['P32893']
IPR005681	Mitochondrial inner membrane translocase complex, subunit Tim23	1	['TIM23']	['P32897']
IPR000109	Proton-dependent oligopeptide transporter family	1	['PTR2']	['P32901']
IPR001950	SUI1 domain	3	['SUI1', 'TMA22', 'TMA64']	['P32911', 'P47089', 'Q04600']
IPR015284	Signal recognition particle (SRP) receptor alpha subunit, N-terminal	1	['SRP101']	['P32916']
IPR005043	Exportin-2, C-terminal	1	['CSE1']	['P33307']
IPR013713	Exportin-2, central domain	2	['CSE1', 'SXM1']	['P33307', 'Q04175']
IPR019160	Exocyst complex component Sec3, coiled-coil	1	['SEC3']	['P33332']
IPR028258	Exocyst complex component Sec3, PIP2-binding N-terminal domain	1	['SEC3']	['P33332']
IPR048628	Exocyst complex component Sec3, C-terminal	1	['SEC3']	['P33332']
IPR041546	ClpA/ClpB, AAA lid domain	2	['HSP78', 'HSP104']	['P33416', 'P31539']
IPR018624	Translocation protein Sec66	1	['SEC66']	['P33754']
IPR005013	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit	1	['WBP1']	['P33767']
IPR005549	Kinetochore protein Nuf2, N-terminal	1	['NUF2']	['P33895']
IPR007231	Nucleoporin interacting component Nup93/Nic96	1	['NIC96']	['P34077']
IPR021110	DNA replication/checkpoint protein	1	['SLD2']	['P34252']
IPR001083	Copper fist DNA-binding domain	3	['MAC1', 'CUP2', 'HAA1']	['P35192', 'P15315', 'Q12753']
IPR006797	PRELI/MSF1 domain	3	['UPS2', 'UPS1', 'UPS3']	['P35200', 'Q05776', 'Q04006']
IPR013238	RNA polymerase III, subunit Rpc25	1	['RPC25']	['P35718']
IPR010625	CHCH	4	['MIA40', 'COA4', 'MRP10', 'COX23']	['P36046', 'Q05809', 'O75012', 'P38824']
IPR003018	GAF domain	1	['[]']	['P36088']
IPR002853	Transcription initiation factor IIE subunit alpha, N-terminal	1	['TFA1']	['P36100']
IPR001736	Phospholipase D/Transphosphatidylase	4	['SPO14', 'SPO14', 'PGS1', 'PGS1']	['P36126', 'P36126', 'P25578', 'P25578']
IPR013966	DASH complex subunit Spc34	1	['SPC34']	['P36131']
IPR003111	Lon protease, N-terminal domain	1	['PIM1']	['P36775']
IPR008269	Peptidase S16, Lon proteolytic domain	1	['PIM1']	['P36775']
IPR054594	Lon protease, AAA+ ATPase lid domain	1	['PIM1']	['P36775']
IPR019182	Cytochrome b-c1 complex subunit 10, fungi	1	['QCR10']	['P37299']
IPR011576	Pyridoxamine 5'-phosphate oxidase, putative	3	['PDX3', '[]', '[]']	['P38075', 'Q06608', 'Q06199']
IPR019576	Pyridoxine 5'-phosphate oxidase, dimerisation, C-terminal	1	['PDX3']	['P38075']
IPR004241	Autophagy protein Atg8 ubiquitin-like	1	['ATG8']	['P38182']
IPR010666	Zinc finger, GRF-type	1	['APN2']	['P38207']
IPR049128	Ribonucleases P/MRP subunit Pop8-like domain	1	['POP8']	['P38208']
IPR000374	Phosphatidate cytidylyltransferase	1	['CDS1']	['P38221']
IPR016720	Phosphatidate cytidylyltransferase, eukaryota	1	['CDS1']	['P38221']
IPR041432	Ubiquitinyl hydrolase, variant UBP zinc finger	1	['UBP14']	['P38237']
IPR013969	Oligosaccharide biosynthesis protein Alg14-like	1	['ALG14']	['P38242']
IPR043987	CCZ1/INTU/HSP4, first Longin domain	1	['CCZ1']	['P38273']
IPR005635	Inner centromere protein, ARK-binding domain	1	['SLI15']	['P38283']
IPR016610	Exonuclease V, Saccharomyces	1	['EXO5']	['P38289']
IPR001727	GDT1-like	1	['GDT1']	['P38301']
IPR000305	GIY-YIG endonuclease	1	['SLX1']	['P38324']
IPR048749	Structure-specific endonuclease subunit SLX1, C-terminal domain	1	['SLX1']	['P38324']
IPR052415	Diphthine methyltransferase	1	['RRT2']	['P38332']
IPR012875	Succinate dehydrogenase assembly factor 4	1	['SDH8']	['P38345']
IPR032696	Squalene cyclase, C-terminal	1	['ERG7']	['P38604']
IPR032697	Squalene cyclase, N-terminal	1	['ERG7']	['P38604']
IPR027486	Small ribosomal subunit protein uS10 domain	2	['RPS20', 'RSM10']	['P38701', 'Q03201']
IPR006634	TRAM/LAG1/CLN8 homology domain	4	['LAG1', 'LAC1', 'TDA4', '[]']	['P38703', 'P28496', 'P47153', 'Q06107']
IPR006114	6-phosphogluconate dehydrogenase, C-terminal	2	['GND1', 'GND2']	['P38720', 'P53319']
IPR006115	6-phosphogluconate dehydrogenase, NADP-binding	2	['GND1', 'GND2']	['P38720', 'P53319']
IPR001046	NRAMP family	3	['SMF2', 'SMF1', 'SMF3']	['P38778', 'P38925', 'Q12078']
IPR007146	Sas10/Utp3/C1D	2	['LRP1', 'LCP5']	['P38801', 'P40079']
IPR011082	Exosome-associated factor Rrp47/DNA strand repair C1D	1	['LRP1']	['P38801']
IPR024679	Pre-rRNA-processing protein Ipi1, N-terminal	1	['IPI1']	['P38803']
IPR013536	WLM domain	1	['WSS1']	['P38838']
IPR019519	Elongator complex protein 5	1	['IKI1']	['P38874']
IPR020818	GroES chaperonin family	1	['HSP10']	['P38910']
IPR006196	RNA-binding domain, S1, IF1 type	1	['TIF11']	['P38912']
IPR039604	Nuclear segregation protein Bfr1	1	['BFR1']	['P38934']
IPR009917	SRA1/Sec31	1	['SEC31']	['P38968']
IPR005772	ATPase, V1 complex, subunit F, eukaryotic	1	['VMA7']	['P39111']
IPR005678	Mitochondrial inner membrane translocase complex, subunit Tim17	1	['TIM17']	['P39515']
IPR006615	Peptidase C19, ubiquitin-specific peptidase, DUSP domain	1	['UBP12']	['P39538']
IPR004095	TGS	5	['RBG1', 'THS1', 'RBG2', 'OLA1', 'YLF2']	['P39729', 'P04801', 'P53295', 'P38219', 'P38746']
IPR009348	Nitrogen permease regulator 2-like	1	['NPR2']	['P39923']
IPR045156	Vacuolar protein 8	1	['VAC8']	['P39968']
IPR018847	Monopolin complex, subunit Mam1	1	['MAM1']	['P40065']
IPR022309	Ribosomal protein eS8/ribosomal biogenesis NSA2	1	['NSA2']	['P40078']
IPR007308	Rtr1/RPAP2 domain	2	['RTR1', 'RTR2']	['P40084', 'Q12378']
IPR003780	COX15/CtaA family	1	['COX15']	['P40086']
IPR001995	Peptidase A2A, retrovirus, catalytic	1	['DDI1']	['P40087']
IPR019103	Aspartic peptidase, DDI1-type	1	['DDI1']	['P40087']
IPR033882	DNA damage inducible protein 1 ubiquitin-like domain	1	['DDI1']	['P40087']
IPR028934	Vacuolar protein sorting protein 26 related	1	['PEP8']	['P40335']
IPR049425	Vacuolar protein sorting-associated protein 27, GAT-like domain	1	['VPS27']	['P40343']
IPR020998	Mediator of RNA polymerase II transcription subunit 3	1	['PGD1']	['P40356']
IPR006591	RNA polymerase archaeal subunit P/eukaryotic subunit RPABC4	1	['RPC10']	['P40422']
IPR014768	Rho GTPase-binding/formin homology 3 (GBD/FH3) domain	1	['BNR1']	['P40450']
IPR031783	Chromosome segregation in meiosis protein 2	1	['CSM2']	['P40465']
IPR033745	Mitochondria fission protein Fis1, cytosolic domain	1	['FIS1']	['P40515']
IPR005467	Histidine kinase domain	1	['PKP1']	['P40530']
IPR026894	DNAJ-containing protein, X-domain	2	['DJP1', 'CAJ1']	['P40564', 'P39101']
IPR003156	DHHA1 domain	1	['ALA1']	['P40825']
IPR012947	Threonyl/alanyl tRNA synthetase, SAD	3	['ALA1', 'THS1', '[]']	['P40825', 'P04801', 'P53960']
IPR018164	Alanyl-tRNA synthetase, class IIc, N-terminal	1	['ALA1']	['P40825']
IPR022039	Post-transcriptional regulator MKT1, C-terminal	1	['MKT1']	['P40850']
IPR022040	Post-transcriptional regulator MKT1, N-terminal	1	['MKT1']	['P40850']
IPR037314	Post-transcriptional regulator MKT1, H3TH domain	1	['MKT1']	['P40850']
IPR007482	Protein-tyrosine phosphatase-like, PTPLA	1	['PHS1']	['P40857']
IPR005613	Actin interacting protein 3, C-terminal	1	['BUD6']	['P41697']
IPR011566	Ubiquinone biosynthesis protein Coq7	1	['CAT5']	['P41735']
IPR016180	Large ribosomal subunit protein uL16 domain	2	['RPL10', 'MRPL16']	['P41805', 'P38064']
IPR001155	NADH:flavin oxidoreductase/NADH oxidase, N-terminal	2	['OYE3', 'OYE2']	['P41816', 'Q03558']
IPR022998	Thiamine phosphate synthase/TenI	1	['THI6']	['P41835']
IPR040450	TFIIF beta subunit, HTH domain	1	['TFG2']	['P41896']
IPR040504	TFIIF, beta subunit, N-terminal	1	['TFG2']	['P41896']
IPR053273	Cell_Separation_Timing_Regulator	1	['EGT2']	['P42835']
IPR015168	SsuA/THI5-like	4	['THI5', 'THI12', 'THI13', 'THI11']	['P43534', 'P42883', 'Q07748', 'P47183']
IPR028565	Mu homology domain	5	['RET2', 'APM3', 'APM2', 'APM1', 'APM4']	['P43621', 'P38153', 'P38700', 'Q00776', 'Q99186']
IPR022591	Transcription initiation factor TFIID subunit 1, histone acetyltransferase domain	1	['TAF1']	['P46677']
IPR041670	Zinc knuckle	1	['TAF1']	['P46677']
IPR015847	Exoribonuclease, phosphorolytic domain 2	3	['SKI6', 'RRP46', 'RRP45']	['P46948', 'P53256', 'Q05636']
IPR051722	Endocytosis and PI4K-regulating protein	1	['YPP1']	['P46951']
IPR003038	DAD/Ost2	1	['OST2']	['P46964']
IPR044865	MRH domain	4	['ATG27', 'GTB1', 'YOS9', 'MRL1']	['P46989', 'Q04924', 'Q99220', 'Q06815']
IPR021061	Mitochondrial division protein 1	1	['MDV1']	['P47025']
IPR012919	SUN domain	2	['MPS3', 'SLP1']	['P47069', 'Q12232']
IPR002637	RdgB/HAM1	1	['HAM1']	['P47119']
IPR051190	Baculoviral IAP repeat-containing	1	['BIR1']	['P47134']
IPR011611	Carbohydrate kinase PfkB	3	['ADO1', 'RBK1', 'MAK32']	['P47143', 'P25332', 'P23060']
IPR032456	CAAX prenyl protease 1, N-terminal	1	['STE24']	['P47154']
IPR007519	Bul1, N-terminal	3	['BUL1', 'BUL2', 'BSC5']	['P48524', 'Q03758', 'P53755']
IPR022794	Bul1, C-terminal	3	['BUL1', 'BUL2', '[]']	['P48524', 'Q03758', 'P53754']
IPR006214	Bax inhibitor 1-related	1	['BXI1']	['P48558']
IPR005124	Vacuolar (H+)-ATPase G subunit	1	['VMA10']	['P48836']
IPR019175	Prp31 C-terminal	1	['PRP31']	['P49704']
IPR013239	RNA polymerase I, subunit Rpa14, fungi	1	['RPA14']	['P50106']
IPR046468	Spt20-like, SEP domain	1	['SPT20']	['P50875']
IPR020602	GTP cyclohydrolase I domain	1	['FOL2']	['P51601']
IPR016072	SKP1 component, dimerisation	1	['SKP1']	['P52286']
IPR013961	RAI1-like	2	['RAI1', 'DXO1']	['P53063', 'Q06349']
IPR004343	Plus-3 domain	1	['RTF1']	['P53064']
IPR006785	Peroxisome membrane anchor protein Pex14p, N-terminal	1	['PEX14']	['P53112']
IPR013948	DNA replication regulator Sld3, C-terminal	1	['SLD3']	['P53135']
IPR041393	Sld3, N-terminal	1	['SLD3']	['P53135']
IPR003607	HD/PDEase domain	4	['YGK1', 'DDI2', '[]', 'DDI3']	['P53144', 'P0CH63', 'P38331', 'P0CH64']
IPR008932	Large ribosomal subunit protein bL12, oligomerization	1	['MNP1']	['P53163']
IPR013823	Large ribosomal subunit protein bL12, C-terminal	1	['MNP1']	['P53163']
IPR013243	SCA7 domain	1	['SGF73']	['P53165']
IPR041251	SAGA-associated factor 73, zinc finger domain	1	['SGF73']	['P53165']
IPR007203	ORMDL family	2	['ORM1', 'ORM2']	['P53224', 'Q06144']
IPR015222	Phosphatidate cytidylyltransferase, mitochondrial	1	['TAM41']	['P53230']
IPR018843	Utp8, beta-propeller	1	['UTP8']	['P53276']
IPR053881	Utp8, C-terminal	1	['UTP8']	['P53276']
IPR019436	Steryl acetyl hydrolase 1-like	1	['SAY1']	['P53324']
IPR006811	RNA polymerase II subunit A	1	['SSU72']	['P53538']
IPR028095	Mso1, N-terminal domain	1	['MSO1']	['P53604']
IPR007654	NAD-dependent histone deacetylase Sir2, N-terminal	2	['HST1', 'SIR2']	['P53685', 'P06700']
IPR026590	Sirtuin family, catalytic core domain	5	['HST1', 'HST2', 'HST3', 'HST4', 'SIR2']	['P53685', 'P53686', 'P53687', 'P53688', 'P06700']
IPR005651	Trm112-like	1	['TRM112']	['P53738']
IPR034353	ABT1/ESF2, RNA recognition motif	1	['ESF2']	['P53743']
