	Domain name	Count	Proteins
IPR004839	['Aminotransferase, class I/classII']	12	['LCB2', 'AAT2', 'ARO9', 'LCB1', 'BNA3', 'HEM1', 'ARO8', 'AAT1', 'ALT2', 'ALT1', 'HIS5', '[]']
IPR012572	['Mad3/Bub1 homology region 2']	2	['BUB1', 'MAD3']
IPR013212	['Mad3/Bub1 homology region 1']	2	['BUB1', 'MAD3']
IPR019411	['MMM1 domain']	2	['MMM1', 'NVJ2']
IPR000253	['Forkhead-associated (FHA) domain']	16	['FKH2', 'TOS4', 'FHL1', 'FKH1', 'RAD53', 'RAD53', 'DMA1', 'VPS64', 'XRS2', 'DUN1', 'DMA2', 'PML1', 'FAR10', 'MEK1', 'PLM2', '[]']
IPR001766	['Fork head domain']	4	['FKH2', 'FHL1', 'FKH1', 'HCM1']
IPR004099	['Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain']	3	['GLR1', 'IRC15', 'LPD1']
IPR023753	['FAD/NAD(P)-binding domain']	10	['GLR1', 'TRR1', 'IRC15', 'NDI1', 'GLT1', 'NDE1', 'LPD1', 'TRR2', 'NDE2', 'AIF1']
IPR024041	['Ammonium transporter AmtB-like domain']	3	['MEP2', 'MEP1', 'MEP3']
IPR000905	['Gcp-like domain']	2	['QRI7', 'KAE1']
IPR003323	['OTU domain']	2	['OTU1', 'OTU2']
IPR048857	['OTU1, Ubl domain']	1	['OTU1']
IPR003807	['Domain of unknown function DUF202']	4	['VTC2', 'VTC3', 'VTC1', 'VTC4']
IPR004331	['SPX domain']	10	['VTC2', 'VTC3', 'PHO81', 'PHO91', 'VTC4', 'GDE1', 'PHO87', 'PHO90', 'SYG1', 'VTC5']
IPR018966	['VTC domain']	3	['VTC2', 'VTC3', 'VTC4']
IPR028098	['Glycosyltransferase subfamily 4-like, N-terminal domain']	1	['ALG2']
IPR007854	['Pre-mRNA polyadenylation factor Fip1 domain']	1	['FIP1']
IPR049470	['tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61, C-terminal']	1	['GCD14']
IPR001202	['WW domain']	9	['SET2', 'PRP40', 'PRP40', 'ESS1', 'RSP5', 'RSP5', 'RSP5', 'WWM1', 'URN1']
IPR003616	['Post-SET domain']	2	['SET2', 'SET1']
IPR006560	['AWS domain']	1	['SET2']
IPR013257	['Set2 Rpb1 interacting domain']	1	['SET2']
IPR003010	['Carbon-nitrogen hydrolase']	6	['NIT2', 'QNS1', 'NTA1', 'NIT3', '[]', 'NIT1']
IPR014044	['CAP domain']	3	['PRY1', 'PRY3', 'PRY2']
IPR025696	['Exosome RNA helicase MTR4-like, beta-barrel domain']	1	['MTR4']
IPR000904	['Sec7 domain']	5	['GEA1', 'SYT1', 'GEA2', 'SEC7', 'YEL1']
IPR032691	['Mon2/Sec7/BIG1-like, HUS domain']	4	['GEA1', 'GEA2', 'MON2', 'SEC7']
IPR022033	['RAVE complex protein Rav1 C-terminal']	1	['RAV1']
IPR013809	['ENTH domain']	5	['ENT3', 'ENT2', 'ENT1', 'ENT5', 'ENT4']
IPR001094	['Flavodoxin-like']	12	['MET5', 'MET5', 'MET5', 'MET5', 'NCP1', 'NCP1', 'NCP1', 'NCP1', 'TAH18', 'TAH18', 'TAH18', 'TAH18']
IPR005117	['Nitrite/Sulfite reductase ferredoxin-like domain']	2	['MET5', 'MET5']
IPR006067	['Nitrite/sulphite reductase 4Fe-4S domain']	1	['MET5']
IPR008254	['Flavodoxin/nitric oxide synthase']	7	['MET5', 'TYW1', 'NCP1', 'TAH18', 'PST2', 'YCP4', 'RFS1']
IPR000008	['C2 domain']	22	['TCB2', 'TCB2', 'TCB2', 'TCB2', 'PLC1', 'SCH9', 'PKC1', 'TCB1', 'TCB1', 'TCB1', 'TCB1', 'BUD2', 'RSP5', 'PSD2', 'PSD2', 'INN1', 'TCB3', 'TCB3', 'TCB3', 'TCB3', 'TCB3', '[]']
IPR031468	['Synaptotagmin-like mitochondrial-lipid-binding domain']	6	['TCB2', 'NVJ2', 'MDM34', 'TCB1', 'TCB3', 'MDM12']
IPR001247	['Exoribonuclease, phosphorolytic domain 1']	5	['MTR3', 'RRP43', 'SKI6', 'RRP46', 'RRP45']
IPR024298	['Ancestral coatomer element 1, Sec16/Sec31']	2	['SEC16', 'SEC31']
IPR024340	['Sec16, central conserved domain']	1	['SEC16']
IPR024468	['Sec16, N-terminal']	1	['SEC16']
IPR004143	['Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain']	3	['BPL1', 'AIM22', 'LIP2']
IPR019197	['Biotin-protein ligase, N-terminal']	1	['BPL1']
IPR000626	['Ubiquitin-like domain']	18	['DSK2', 'UBP6', 'SMT3', 'RPL40A', 'RAD23', 'USA1', 'RPS31', 'RPL40B', 'ALF1', 'ESC2', 'MDY2', 'UBI4', 'UBI4', 'UBI4', 'UBI4', 'UBI4', 'RUB1', 'HUB1']
IPR006636	['Heat shock chaperonin-binding']	5	['DSK2', 'DSK2', 'RAD23', 'STI1', 'STI1']
IPR015940	['Ubiquitin-associated domain']	8	['DSK2', 'GTS1', 'RAD23', 'RAD23', 'EDE1', 'DDI1', '[]', 'RUP1']
IPR002058	['PAP/25A-associated']	2	['TRF5', 'PAP2']
IPR002934	['Polymerase, nucleotidyl transferase domain']	2	['TRF5', 'PAP2']
IPR000836	['Phosphoribosyltransferase domain']	13	['APT1', 'PRS5', 'FUR1', 'PRS1', 'PRS3', 'HPT1', 'PRS2', 'PRS4', 'ADE4', 'URA5', 'APT2', 'URA10', 'XPT1']
IPR007230	['Nuclear pore complex protein Nup98-Nup96-like, autopeptidase S59 domain']	3	['NUP145', 'NUP116', 'NUP100']
IPR021967	['Nuclear pore complex protein NUP96, C-terminal domain']	1	['NUP145']
IPR013216	['Methyltransferase type 11']	4	['TRM9', 'BUD23', 'ERG6', 'CRG1']
IPR007900	['Transcription initiation factor TFIID component TAF4, C-terminal']	1	['TAF4']
IPR000608	['Ubiquitin-conjugating enzyme E2']	14	['UBC12', 'MMS2', 'RAD6', 'UBC9', 'CDC34', 'UBC5', 'UBC8', 'PEX4', 'UBC4', 'UBC1', 'UBC6', 'UBC13', 'UBC7', 'UBC11']
IPR001138	['Zn(2)Cys(6) fungal-type DNA-binding domain']	55	['PIP2', 'ECM22', 'UPC2', 'RDS2', 'PUT3', 'GAL4', 'PDR1', 'OAF1', 'CEP3', 'HAP1', 'SUT1', 'RSC3', 'PPR1', 'LEU3', 'UGA3', 'RGT1', 'ERT1', 'RSC30', 'UME6', 'WAR1', 'ARG81', 'PDR3', 'TBS1', 'CAT8', 'ASG1', 'DAL81', 'OAF3', 'URC2', 'ARO80', 'YRR1', 'LYS14', 'ZNF1', 'SIP4', 'STB5', 'GSM1', 'CHA4', 'TEA1', 'HAL9', 'STB4', 'RDS1', 'SEF1', 'EDS1', 'TOG1', '[]', 'THI2', 'MAL33', 'RDR1', 'YRM1', 'MAL13', 'PDR8', '[]', '[]', '[]', '[]', '[]']
IPR020838	['DBINO domain']	1	['INO80']
IPR035082	['Nrap protein domain 1']	1	['UTP22']
IPR035367	['Nrap protein, domain 2']	1	['UTP22']
IPR035368	['Nrap protein, domain 3']	1	['UTP22']
IPR035369	['Nrap protein, domain 4']	1	['UTP22']
IPR035370	['Nrap protein, domain 5']	1	['UTP22']
IPR035371	['Nrap protein, domain 6']	1	['UTP22']
IPR004457	['Zinc finger, ZPR1-type']	2	['ZPR1', 'ZPR1']
IPR000467	['G-patch domain']	5	['PXR1', 'SQS1', 'SPP382', 'SPP2', '[]']
IPR012904	['8-oxoguanine DNA glycosylase, N-terminal']	1	['OGG1']
IPR000086	['NUDIX hydrolase domain']	7	['DCP2', 'IDI1', 'PCD1', 'NPY1', 'DDP1', 'YSA1', '[]']
IPR007722	['mRNA decapping protein 2, Box A domain']	1	['DCP2']
IPR006569	['CID domain']	3	['NRD1', 'PCF11', 'RTT103']
IPR048892	['Nrd1/Seb1, domain 2']	1	['NRD1']
IPR006692	['Coatomer, WD associated region']	2	['COP1', 'SEC27']
IPR010714	['Coatomer, alpha subunit, C-terminal']	1	['COP1']
IPR002075	['Nuclear transport factor 2 domain']	2	['BRE5', 'NTF2']
IPR000571	['Zinc finger, CCCH-type']	18	['CWC24', 'DUS3', 'PAN3', 'YTH1', 'YTH1', 'YTH1', 'YTH1', 'YTH1', 'CWC2', 'MOT2', 'TIS11', 'TIS11', 'TMA46', 'TMA46', 'CTH1', 'CTH1', 'LEE1', 'LEE1']
IPR011531	['Bicarbonate transporter-like, transmembrane domain']	2	['BOR1', 'BOR1']
IPR021875	['Retrograde transport protein Dsl1 N-terminal domain']	1	['DSL1']
IPR021876	['Retrograde transport protein Dsl1, C-terminal domain']	1	['DSL1']
IPR034082	['Protein SQS1, R3H domain']	1	['SQS1']
IPR001163	['Sm domain, eukaryotic/archaea-type']	16	['LSM7', 'SMX3', 'LSM5', 'LSM8', 'LSM3', 'SMD2', 'LSM2', 'SMD3', 'SME1', 'SMB1', 'LSM4', 'SMX2', 'LSM1', 'SMD1', 'LSM6', 'MAK31']
IPR007807	['Helicase domain']	1	['KRE33']
IPR013562	['tRNA(Met) cytidine acetyltransferase TmcA, N-terminal']	1	['KRE33']
IPR027992	['Possible tRNA binding domain']	1	['KRE33']
IPR031814	['ALG11 mannosyltransferase, N-terminal']	1	['ALG11']
IPR000184	['Bacterial surface antigen (D15)']	1	['SAM50']
IPR015590	['Aldehyde dehydrogenase domain']	9	['ALD6', 'ALD5', 'HFD1', 'ALD4', 'ALD2', 'PUT2', 'ALD3', 'UGA2', 'MSC7']
IPR003123	['VPS9 domain']	3	['VPS9', 'MUK1', '[]']
IPR041545	['RABX5, catalytic core helical domain']	1	['VPS9']
IPR003613	['U-box domain']	2	['UFD2', 'PRP19']
IPR019474	['Ubiquitin conjugation factor E4, core']	1	['UFD2']
IPR007223	['Peroxin 13, N-terminal']	1	['PEX13']
IPR000340	['Dual specificity phosphatase, catalytic domain']	6	['CDC14', 'SDP1', 'YVH1', 'MSG5', 'TEP1', 'PPS1']
IPR029260	['Dual specificity/tyrosine protein phosphatase, N-terminal']	1	['CDC14']
IPR003953	['FAD-dependent oxidoreductase 2, FAD binding domain']	4	['SDH1', 'FRD1', 'OSM1', '[]']
IPR015939	['Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal']	2	['SDH1', '[]']
IPR001394	['Peptidase C19, ubiquitin carboxyl-terminal hydrolase']	17	['UBP2', 'UBP7', 'UBP6', 'UBP15', 'UBP3', 'UBP8', 'DOA4', 'UBP14', 'UBP12', 'UBP10', 'UBP1', 'SAD1', 'UBP16', 'UBP11', 'UBP13', 'UBP9', 'UBP5']
IPR025305	['UCH repeated domain']	3	['UBP2', 'UBP2', 'UBP2']
IPR032387	['Acetyl-coenzyme A synthetase, N-terminal domain']	2	['ACS1', 'ACS2']
IPR004827	['Basic-leucine zipper domain']	13	['SKO1', 'GCN4', 'HAC1', 'YAP1', 'CIN5', 'CAD1', 'CST6', 'MET28', 'YAP3', 'ACA1', 'YAP5', 'YAP6', 'YAP7']
IPR020956	['Transcription factor Aft1, osmotic stress domain']	1	['SKO1']
IPR010929	['CDR ABC transporter']	9	['PDR12', 'PDR12', 'PDR5', 'PDR15', 'PDR11', 'PDR10', 'PDR18', 'AUS1', 'SNQ2']
IPR013525	['ABC-2 type transporter, transmembrane domain']	19	['PDR12', 'PDR12', 'PDR5', 'PDR5', 'PDR15', 'PDR15', 'PDR11', 'PDR11', 'PDR10', 'PDR10', 'PDR18', 'PDR18', 'AUS1', 'AUS1', 'ADP1', 'SNQ2', 'SNQ2', '[]', '[]']
IPR029481	['ABC-transporter, N-terminal domain']	5	['PDR12', 'PDR5', 'PDR15', 'PDR10', 'SNQ2']
IPR043926	['ABC transporter family G domain']	7	['PDR12', 'PDR15', 'PDR11', 'PDR18', 'AUS1', 'SNQ2', '[]']
IPR007209	['RNase L inhibitor RLI-like, possible metal-binding domain']	2	['RLI1', 'TSR3']
IPR017896	['4Fe-4S ferredoxin-type, iron-sulphur binding domain']	2	['RLI1', 'SDH2']
IPR022210	['Transcription activator GCR1-like domain']	5	['HOT1', 'GCR1', 'EUC1', 'CBF2', 'MSN1']
IPR010309	['E3 ubiquitin ligase, domain of unknown function DUF908']	1	['TOM1']
IPR010314	['E3 ubiquitin ligase, domain of unknown function DUF913']	1	['TOM1']
IPR026480	['Arginine N-methyltransferase 2-like domain']	1	['RMT2']
IPR006925	['Vps16, C-terminal']	1	['VPS16']
IPR006926	['Vps16, N-terminal']	1	['VPS16']
IPR001199	['Cytochrome b5-like heme/steroid binding domain']	6	['SCS7', 'CYB2', 'OLE1', 'CYB5', 'DAP1', 'IRC21']
IPR006694	['Fatty acid hydroxylase']	4	['SCS7', 'ERG3', 'SUR2', 'ERG25']
IPR025697	['CLU domain']	1	['CLU1']
IPR028275	['Clustered mitochondria protein, N-terminal']	1	['CLU1']
IPR033646	['CLU central domain']	1	['CLU1']
IPR003228	['Transcription initiation factor TFIID subunit 12 domain']	1	['TAF12']
IPR003349	['JmjN domain']	4	['GIS1', 'RPH1', 'JHD2', 'ECM5']
IPR029217	['Sporulation-specific protein 71, N-terminal domain']	1	['SPO71']
IPR001126	['UmuC domain']	2	['RAD30', 'REV1']
IPR041298	['DNA polymerase eta, ubiquitin-binding zinc finger']	1	['RAD30']
IPR013717	['PIG-P']	1	['GPI19']
IPR025789	['Histone-lysine N-methyltransferase DOT1 domain']	1	['DOT1']
IPR006153	['Cation/H+ exchanger']	2	['NHX1', 'NHA1']
IPR007148	['Small-subunit processome, Utp12']	3	['UTP5', 'PWP2', 'DIP2']
IPR001012	['UBX domain']	7	['UBX2', 'UBX3', 'SHP1', 'UBX7', 'UBX5', 'UBX6', 'UBX4']
IPR041175	['VLRF1/Vms1']	1	['VMS1']
IPR007705	['Vesicle transport v-SNARE, N-terminal']	1	['VTI1']
IPR002791	['Damage-control phosphatase ARMT1-like, metal-binding domain']	1	['[]']
IPR024958	['GRASP-type PDZ domain']	1	['GRH1']
IPR024790	['Anaphase-promoting complex subunit 4, long domain']	1	['APC4']
IPR002035	['von Willebrand factor, type A']	3	['SSL1', 'RPN10', 'MDN1']
IPR004595	['TFIIH C1-like domain']	1	['SSL1']
IPR003388	['Reticulon']	2	['RTN1', 'RTN2']
IPR013931	['Svf1-like, N-terminal']	3	['SVF1', '[]', '[]']
IPR033394	['Svf1-like, C-terminal']	3	['SVF1', '[]', '[]']
IPR000690	['Matrin/U1-C, C2H2-type zinc finger']	3	['YHC1', 'PRP9', 'PRP9']
IPR035587	['DUS-like, FMN-binding domain']	4	['DUS3', 'SMM1', 'DUS1', 'DUS4']
IPR003890	['MIF4G-like, type 3']	8	['SGD1', 'STO1', 'TIF4631', 'TIF4632', 'CWC22', 'NMD2', 'NMD2', 'NMD2']
IPR003891	['Initiation factor eIF-4 gamma, MA3']	2	['SGD1', 'CWC22']
IPR012946	['X8 domain']	2	['GAS2', 'GAS1']
IPR015381	['XLF, N-terminal']	1	['NEJ1']
IPR002048	['EF-hand domain']	19	['FRQ1', 'CDC31', 'CDC31', 'PLC1', 'GEM1', 'MLC1', 'MLC1', 'PEF1', 'PEF1', 'CNB1', 'CNB1', 'MLC2', 'CMD1', 'CMD1', 'CCH1', 'MDR1', 'SAL1', 'SAL1', 'SSP120']
IPR027357	['DOCKER domain']	1	['DCK1']
IPR001025	['Bromo adjacent homology (BAH) domain']	5	['RSC2', 'SIR3', 'SNT2', 'RSC1', 'ORC1']
IPR001594	['Palmitoyltransferase, DHHC domain']	7	['ERF2', 'PFA4', 'AKR1', 'PFA3', 'SWF1', 'AKR2', 'PFA5']
IPR002509	['NodB homology domain']	2	['CDA2', 'CDA1']
IPR018571	['Membrane anchor Opy2, N-terminal']	1	['OPY2']
IPR027353	['NET domain']	3	['BDF2', 'TAF14', 'BDF1']
IPR008207	['Signal transduction histidine kinase, phosphotransfer (Hpt) domain']	1	['YPD1']
IPR002642	['Lysophospholipase, catalytic domain']	4	['PLB3', 'SPO1', 'PLB2', 'PLB1']
IPR000717	['Proteasome component (PCI) domain']	14	['THP1', 'RPN5', 'NIP1', 'RPG1', 'RPN3', 'SAC3', 'RPN9', 'RPN6', 'RPN12', 'CSN12', 'THP3', 'PCI8', 'RPN7', 'RRI2']
IPR031313	['SAPK-interacting protein 1, Pleckstrin-homology domain']	1	['AVO1']
IPR031567	['Sin1, middle CRIM domain']	1	['AVO1']
IPR041260	['Sld7 C-terminal domain']	1	['SLD7']
IPR041564	['Sld7, N-terminal']	1	['SLD7']
IPR011760	['Pseudouridine synthase, TruD, insertion domain']	1	['PUS7']
IPR010655	['Pre-mRNA cleavage complex subunit Clp1, C-terminal']	1	['CLP1']
IPR032319	"[""Polyribonucleotide 5'-hydroxyl-kinase Clp1, P-loop domain""]"	2	['CLP1', 'GRC3']
IPR032324	['Clp1, N-terminal beta-sandwich domain']	1	['CLP1']
IPR011146	['HIT-like domain']	3	['HNT3', 'HNT2', 'HNT1']
IPR032566	['Aprataxin, C2HE/C2H2/C2HC zinc finger']	1	['HNT3']
IPR007197	['Radical SAM']	1	['TYW1']
IPR046884	['tRNA-specific 2-thiouridylase MnmA-like, central domain']	1	['SLM3']
IPR046885	['tRNA-specific 2-thiouridylase MnmA-like, C-terminal domain']	1	['SLM3']
IPR012472	['Mitochondrial adapter protein MCP1, transmembrane domain']	2	['MCP1', 'MCP1']
IPR001878	['Zinc finger, CCHC-type']	25	['TY3A-G', 'TY3B-I', 'MPE1', 'SLU7', 'TY3B-G', 'AIR1', 'AIR1', 'AIR1', 'AIR1', 'AIR1', 'MSL5', 'MSL5', 'AIR2', 'AIR2', 'AIR2', 'AIR2', 'AIR2', 'TY3A-I', 'GIS2', 'GIS2', 'GIS2', 'GIS2', 'GIS2', 'GIS2', 'GIS2']
IPR045358	['Ty3 transposon capsid-like protein']	4	['TY3A-G', 'TY3B-I', 'TY3B-G', 'TY3A-I']
IPR002125	['Cytidine and deoxycytidylate deaminase domain']	6	['FCY1', 'RIB2', 'CDD1', 'TAD2', 'DCD1', 'TAD3']
IPR001206	['Diacylglycerol kinase, catalytic domain']	2	['LCB4', 'LCB5']
IPR040896	['26S proteasome regulatory subunit RPN5, C-terminal domain']	1	['RPN5']
IPR029099	['Ribose-phosphate pyrophosphokinase, N-terminal domain']	5	['PRS5', 'PRS1', 'PRS3', 'PRS2', 'PRS4']
IPR000593	['RasGAP protein, C-terminal']	1	['IQG1']
IPR001715	['Calponin homology domain']	8	['IQG1', 'SAC6', 'SAC6', 'SAC6', 'SAC6', 'CDC24', 'BIM1', 'SCP1']
IPR001936	['Ras GTPase-activating domain']	4	['IQG1', 'BUD2', 'IRA1', 'IRA2']
IPR006565	['Bromodomain associated domain']	1	['TAF3']
IPR016009	['tRNA methyltransferase TRMD/TRM10-type domain']	1	['TRM10']
IPR000361	['FeS cluster biogenesis']	2	['ISA2', 'ISA1']
IPR000095	['CRIB domain']	5	['SKM1', 'GIC1', 'CLA4', 'STE20', 'GIC2']
IPR007207	['CCR4-Not complex component, Not N-terminal domain']	2	['NOT5', 'NOT3']
IPR007282	['NOT2/NOT3/NOT5, C-terminal']	3	['NOT5', 'NOT3', 'CDC36']
IPR032630	['P-type ATPase, C-terminal']	5	['DNF2', 'DNF3', 'DNF1', 'DRS2', 'NEO1']
IPR032631	['P-type ATPase, N-terminal']	5	['DNF2', 'DNF3', 'DNF1', 'DRS2', 'NEO1']
IPR012978	['Ribosomal RNA-processing protein 12-like, conserved domain']	1	['RRP12']
IPR000477	['Reverse transcriptase domain']	5	['TY3B-I', 'TY3B-G', 'EST2', 'AI2', 'AI1']
IPR041577	['Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain']	2	['TY3B-I', 'TY3B-G']
IPR041588	['Integrase zinc-binding domain']	2	['TY3B-I', 'TY3B-G']
IPR009851	['Modifier of rudimentary, Modr']	1	['SRN2']
IPR004837	['Sodium/calcium exchanger membrane region']	8	['VCX1', 'VCX1', 'VNX1', 'VNX1', '[]', '[]', 'ECM27', 'ECM27']
IPR000262	['FMN-dependent dehydrogenase']	1	['CYB2']
IPR008442	['Propeptide, carboxypeptidase Y']	1	['PRC1']
IPR002496	['Phosphoribosyl-AMP cyclohydrolase domain']	1	['HIS4']
IPR003008	['Tubulin/FtsZ, GTPase domain']	4	['TUB2', 'TUB1', 'TUB4', 'TUB3']
IPR018316	['Tubulin/FtsZ, 2-layer sandwich domain']	4	['TUB2', 'TUB1', 'TUB4', 'TUB3']
IPR004860	['Homing endonuclease, LAGLIDADG']	13	['AI3', 'AI3', 'AI4', 'AI4', 'BI4', 'BI4', 'BI3', 'BI3', 'AI5_ALPHA', 'BI2', 'SCEI', 'AI5_BETA', '[]']
IPR005797	['Cytochrome b/b6, N-terminal domain']	4	['BI4', 'BI3', 'COB', 'BI2']
IPR002004	['Polyadenylate-binding protein/Hyperplastic disc protein']	1	['PAB1']
IPR012308	['DNA ligase, ATP-dependent, N-terminal']	2	['CDC9', 'DNL4']
IPR012309	['DNA ligase, ATP-dependent, C-terminal']	1	['CDC9']
IPR012310	['DNA ligase, ATP-dependent, central']	2	['CDC9', 'DNL4']
IPR004087	['K Homology domain']	17	['SCP160', 'SCP160', 'SCP160', 'SCP160', 'SCP160', 'SCP160', 'SCP160', 'HEK2', 'HEK2', 'HEK2', 'MSL5', 'KRR1', 'MER1', 'PBP2', 'PBP2', 'PBP2', '[]']
IPR002539	['MaoC-like dehydratase domain']	2	['FAS1', 'FOX2']
IPR003965	['Fatty acid synthase']	10	['FAS1', 'FAS1', 'FAS1', 'FAS1', 'FAS1', 'FAS1', 'FAS1', 'FAS1', 'FAS1', 'FAS1']
IPR013565	['Fatty acid synthase beta subunit AflB /Fas1-like, central domain']	1	['FAS1']
IPR014043	['Acyl transferase']	1	['FAS1']
IPR032088	['Starter unit:ACP transacylase']	1	['FAS1']
IPR039569	['N-terminal of MaoC-like dehydratase']	1	['FAS1']
IPR040883	['Fatty acid synthase, meander beta sheet domain']	1	['FAS1']
IPR041099	['Fatty acid synthase subunit beta, N-terminal domain']	1	['FAS1']
IPR020630	['Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain']	3	['ADE3', 'MIS1', 'MTD1']
IPR020631	['Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain']	3	['ADE3', 'MIS1', 'MTD1']
IPR002100	['Transcription factor, MADS-box']	4	['ARG80', 'SMP1', 'RLM1', 'MCM1']
IPR033897	['MADS SRF-like']	2	['ARG80', 'MCM1']
IPR004154	['Anticodon-binding']	6	['HTS1', 'GRS1', 'GRS2', 'MST1', '[]', 'THS1']
IPR018951	['Fumarase C, C-terminal']	1	['FUM1']
IPR022761	['Fumarate lyase, N-terminal']	3	['FUM1', 'ADE13', 'ARG4']
IPR001604	['DNA/RNA non-specific endonuclease']	1	['NUC1']
IPR001986	['Enolpyruvate transferase domain']	1	['ARO1']
IPR006151	['Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase']	1	['ARO1']
IPR010110	['Shikimate dehydrogenase, AroM-type']	1	['ARO1']
IPR016037	['3-dehydroquinate synthase AroB']	1	['ARO1']
IPR015965	['tRNA ligase, phosphodiesterase']	1	['TRL1']
IPR015966	['tRNA ligase, kinase domain, fungi']	1	['TRL1']
IPR019039	['T4 RNA ligase 1-like, N-terminal']	1	['TRL1']
IPR020783	['Large ribosomal subunit protein uL11, C-terminal']	3	['RPL12B', 'RPL12A', 'MRPL19']
IPR020784	['Large ribosomal subunit protein uL11, N-terminal']	3	['RPL12B', 'RPL12A', 'MRPL19']
IPR000196	['Large ribosomal subunit protein eL19 domain']	2	['RPL19B', 'RPL19A']
IPR022628	['S-adenosylmethionine synthetase, N-terminal']	2	['SAM1', 'SAM2']
IPR022629	['S-adenosylmethionine synthetase, central domain']	2	['SAM1', 'SAM2']
IPR022630	['S-adenosylmethionine synthetase, C-terminal']	2	['SAM1', 'SAM2']
IPR022674	['Glucose-6-phosphate dehydrogenase, NAD-binding']	1	['ZWF1']
IPR022675	['Glucose-6-phosphate dehydrogenase, C-terminal']	1	['ZWF1']
IPR031556	['Sir4, SID domain']	1	['SIR4']
IPR000731	['Sterol-sensing domain']	3	['HMG1', 'HMG2', 'NCR1']
IPR025583	['HMG-CoA reductase, N-terminal domain']	2	['HMG1', 'HMG2']
IPR004014	['Cation-transporting P-type ATPase, N-terminal']	7	['PMR1', 'PMC1', 'ENA5', 'PMA1', 'ENA1', 'ENA2', 'PMA2']
IPR006068	['Cation-transporting P-type ATPase, C-terminal']	5	['PMR1', 'PMC1', 'ENA5', 'ENA1', 'ENA2']
IPR013979	['Translation initiation factor, beta propellor-like domain']	3	['MSI1', 'PRT1', '[]']
IPR001173	['Glycosyltransferase 2-like']	3	['CHS2', 'DPM1', 'ALG5']
IPR013616	['Chitin synthase N-terminal']	2	['CHS2', 'CHS1']
IPR001347	['SIS domain']	4	['GFA1', 'GFA1', '[]', '[]']
IPR017932	['Glutamine amidotransferase type 2 domain']	8	['GFA1', 'DUG3', 'GLT1', 'ADE4', 'ASN2', '[]', 'ASN1', '[]']
IPR006133	['DNA-directed DNA polymerase, family B, exonuclease domain']	4	['POL3', 'POL1', 'REV3', 'POL2']
IPR006134	['DNA-directed DNA polymerase, family B, multifunctional domain']	4	['POL3', 'POL1', 'REV3', 'POL2']
IPR025687	['C4-type zinc-finger of DNA polymerase delta']	2	['POL3', 'REV3']
IPR008144	['Guanylate kinase-like domain']	1	['GUK1']
IPR002068	['Alpha crystallin/Hsp20 domain']	2	['HSP26', 'HSP42']
IPR040533	['Elongation factor 3, four helical bundle domain']	2	['YEF3', 'HEF3']
IPR013890	['Transcriptional repressor Tup1, N-terminal']	1	['TUP1']
IPR009449	['GDP/GTP exchange factor Sec2, N-terminal']	1	['SEC2']
IPR004038	['Ribosomal protein eL8/eL30/eS12/Gadd45']	6	['RPL8A', 'SNU13', 'NHP2', 'RPL30', 'RPL8B', 'RPS12']
IPR047206	['Centromere-binding protein 1-like, bHLHzip domain']	1	['CBF1']
IPR003586	['Hint domain C-terminal']	1	['VMA1']
IPR003587	['Hint domain N-terminal']	2	['VMA1', 'HO']
IPR004042	['Intein DOD homing endonuclease']	2	['VMA1', 'HO']
IPR007868	['Hom-end-associated Hint']	2	['VMA1', 'HO']
IPR031686	['ATPsynthase alpha/beta subunit, N-terminal extension']	1	['VMA1']
IPR001632	['G-protein, beta subunit']	4	['STE4', 'STE4', 'STE4', 'STE4']
IPR015898	['G-protein gamma-like domain']	1	['STE18']
IPR003511	['HORMA domain']	3	['HOP1', 'MAD2', 'REV7']
IPR006590	['RNA polymerase Rpb4/RPC9, core']	1	['RPB4']
IPR005804	['Fatty acid desaturase domain']	1	['OLE1']
IPR021150	['Ubiquinol-cytochrome c chaperone']	1	['CBP3']
IPR000375	['Dynamin stalk domain']	2	['VPS1', 'DNM1']
IPR001401	['Dynamin, GTPase domain']	3	['VPS1', 'DNM1', 'MGM1']
IPR003130	['Dynamin GTPase effector']	2	['VPS1', 'DNM1']
IPR000788	['Ribonucleotide reductase large subunit, C-terminal']	2	['RNR3', 'RNR1']
IPR005144	['ATP-cone domain']	2	['RNR3', 'RNR1']
IPR013509	['Ribonucleotide reductase large subunit, N-terminal']	2	['RNR3', 'RNR1']
IPR001041	['2Fe-2S ferredoxin-type iron-sulfur binding domain']	2	['SDH2', 'YAH1']
IPR000602	['Glycoside hydrolase family 38, N-terminal domain']	1	['AMS1']
IPR011682	['Glycosyl hydrolase family 38, C-terminal']	1	['AMS1']
IPR015341	['Glycoside hydrolase family 38, central domain']	1	['AMS1']
IPR041147	['Glycosyl hydrolases family 38, C-terminal beta sandwich domain']	1	['AMS1']
